col,dat,Froleyks-2,TakehideSoh,YuyaYamada-N,haz-2,haz-single-2,junkawahara,telematik-tuhh,tigrisg,toda5603
benchmark/color04/1-FullIns_3.col,benchmark/color04/1-FullIns_3_01.dat,1,1,1,1,1,1,1,1,1
benchmark/color04/1-FullIns_3.col,benchmark/color04/1-FullIns_3_02.dat,3,3,34,29,29,3,3,3,3
benchmark/color04/1-FullIns_4.col,benchmark/color04/1-FullIns_4_01.dat,1,1,1,1,1,1,1,1,1
benchmark/color04/1-FullIns_4.col,benchmark/color04/1-FullIns_4_02.dat,1,1,96,89,89,1,1,1,1
benchmark/color04/1-FullIns_5.col,benchmark/color04/1-FullIns_5_01.dat,1,1,1,1,1,N.A.,1,1,1
benchmark/color04/1-FullIns_5.col,benchmark/color04/1-FullIns_5_02.dat,1,1,57,32,40,N.A.,1,1,14
benchmark/color04/1-Insertions_4.col,benchmark/color04/1-Insertions_4_01.dat,3,3,4,4,4,3,3,3,3
benchmark/color04/1-Insertions_4.col,benchmark/color04/1-Insertions_4_02.dat,2,2,195,248,248,2,2,2,3
benchmark/color04/1-Insertions_5.col,benchmark/color04/1-Insertions_5_01.dat,2,2,5,5,5,N.A.,2,2,2
benchmark/color04/1-Insertions_5.col,benchmark/color04/1-Insertions_5_02.dat,2,2,48,100,102,N.A.,2,2,25
benchmark/color04/1-Insertions_6.col,benchmark/color04/1-Insertions_6_01.dat,1,1,6,6,6,N.A.,1,1,1
benchmark/color04/1-Insertions_6.col,benchmark/color04/1-Insertions_6_02.dat,3,3,48,90,91,N.A.,3,3,39
benchmark/color04/2-FullIns_3.col,benchmark/color04/2-FullIns_3_01.dat,2,2,26,26,26,2,2,2,2
benchmark/color04/2-FullIns_3.col,benchmark/color04/2-FullIns_3_02.dat,2,2,26,26,26,2,2,2,2
benchmark/color04/2-FullIns_4.col,benchmark/color04/2-FullIns_4_01.dat,1,1,75,98,104,N.A.,1,1,60
benchmark/color04/2-FullIns_4.col,benchmark/color04/2-FullIns_4_02.dat,1,1,70,100,104,N.A.,1,1,32
benchmark/color04/2-FullIns_5.col,benchmark/color04/2-FullIns_5_01.dat,1,1,34,38,42,N.A.,1,1,1
benchmark/color04/2-FullIns_5.col,benchmark/color04/2-FullIns_5_02.dat,1,1,53,37,42,N.A.,1,1,1
benchmark/color04/2-Insertions_3.col,benchmark/color04/2-Insertions_3_01.dat,3,3,52,43,43,3,3,3,3
benchmark/color04/2-Insertions_3.col,benchmark/color04/2-Insertions_3_02.dat,2,2,51,32,32,2,2,2,2
benchmark/color04/2-Insertions_4.col,benchmark/color04/2-Insertions_4_01.dat,1,1,53,73,73,N.A.,1,1,1
benchmark/color04/2-Insertions_4.col,benchmark/color04/2-Insertions_4_02.dat,1,1,54,73,73,N.A.,1,1,28
benchmark/color04/2-Insertions_5.col,benchmark/color04/2-Insertions_5_01.dat,1,1,29,47,53,N.A.,1,1,201
benchmark/color04/2-Insertions_5.col,benchmark/color04/2-Insertions_5_02.dat,1,1,63,47,53,N.A.,1,1,1
benchmark/color04/3-FullIns_3.col,benchmark/color04/3-FullIns_3_01.dat,2,2,10,10,10,2,2,2,2
benchmark/color04/3-FullIns_3.col,benchmark/color04/3-FullIns_3_02.dat,4,4,232,232,233,4,4,4,5
