c Running for 10 seconds: python3 /SOLVER/mip/check-unsolvability.py /BENCHMARKS/benchmark/sp/sp004.col /BENCHMARKS/benchmark/sp/sp004_01.dat
c Running for 4200 seconds: python3 /SOLVER/fd/fast-downward.py --overall-memory-limit 16G --plan-file results/sp004_01/sas_plan results/sp004_01/output.sas --landmarks "lmg=lm_merged([lm_rhw(use_orders=true), lm_hm(use_orders=true, m=1)])" --evaluator "hlm=lmcount(lmg, admissible=true, pref=false, cost_partitioning=suboptimal, greedy=false, reuse_costs=false)" --search "astar(hlm)"
s 1 8 14 21 27 34 40 47
t 7 13 14 21 27 34 40 47
a YES
a 1 14 21 27 34 40 47 8
a 14 2 21 27 34 40 47 8
a 14 2 21 27 34 40 47 9
a 14 21 27 3 34 40 47 9
a 10 14 21 27 3 34 40 47
a 10 15 21 27 3 34 40 47
a 10 15 22 27 3 34 40 47
a 10 16 22 27 3 34 40 47
a 10 16 23 27 3 34 40 47
a 10 16 23 28 3 34 40 47
a 10 16 23 28 3 35 40 47
a 10 16 23 29 3 35 40 47
a 10 16 23 29 3 36 40 47
a 10 16 23 3 30 36 40 47
a 10 16 23 3 30 36 41 47
a 10 16 23 3 30 36 41 48
a 10 16 23 3 30 36 42 48
a 10 16 23 3 30 36 42 49
a 10 16 23 3 30 36 43 49
a 10 16 23 3 30 36 43 50
a 10 16 23 3 30 36 44 50
a 10 16 23 3 30 36 44 51
a 10 16 23 3 30 36 45 51
a 10 16 23 3 30 36 45 52
a 10 16 23 3 30 36 46 52
a 10 16 23 3 30 37 46 52
a 10 16 23 3 31 37 46 52
a 10 16 23 3 31 38 46 52
a 10 16 23 3 31 38 45 52
a 10 16 23 3 31 38 45 51
a 10 16 23 3 31 38 44 51
a 10 16 23 3 31 38 44 50
a 10 16 23 3 31 38 43 50
a 10 16 23 3 31 38 43 49
a 10 16 23 3 31 38 42 49
a 10 16 23 3 31 38 42 48
a 10 16 23 3 31 38 41 48
a 10 16 23 3 31 38 41 47
a 10 16 23 3 31 38 40 47
a 10 16 23 3 32 38 40 47
a 10 16 23 3 32 39 40 47
a 10 16 23 3 33 39 40 47
a 10 17 23 3 33 39 40 47
a 10 17 24 3 33 39 40 47
a 10 18 24 3 33 39 40 47
